분야,대제목,한줄소개,사전모집여부,참여대상,소요시간,체험기간,체험시간,
에너지신산업,태양전지 패널,"태양광을 이용해 전력을 생산하며, 건물 외장재와 태양광 모듈을 일체화한 친환경 에너지 시스템에 사용되는 태양전지 패널 체험",현장접수,전국민대상,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
에너지신산업,에코루프 키친스테이션,식기세척기와 음식물처리기를 소형 히트펌프로 결합해 폐열을 활용함으로써 에너지 절감·편의성·친환경성을 동시에 구현한 미래형 주방 시스템 체험,현장접수,전국민대상,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
에너지신산업,수소 스테이션,수소전기차 등에 연료를 공급하기 위해 수소를 저장·충전하는 인프라 시설 체험,현장접수,전국민대상,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
에너지신산업,플러스에너지빌딩,건물 자체에서 소비하는 에너지보다 더 많은 에너지를 생산하여 순에너지 이익을 창출하는 차세대 친환경 건물을 직접 체험,현장접수,전국민대상,5,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
에너지신산업,태양전지 자동차경주 체험물,충전된 태양전지를 장착한 미니카를 이용한 트랙경주,현장접수,전국민대상,20,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
에너지신산업,압전에너지,발판 위를 누르면 전력이 생산되어 전력량을 보여주는 압전에너지 체험물,현장접수,전국민대상,20,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
에너지신산업,수력 풍력에너지 체험,수력 및 풍력 에너지가 어떻게 생성되어 전기로 돌아오는지 과정을 알 수 있도록 설계된 체험물,현장접수,전국민대상,10분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
에너지신산업,수소밸류체인 VR 체험,VR을 통해 수소 생산부터 활용까지 수소밸류체인의 전 과정을 생생하게 체험,현장접수,전국민대상,20분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
에너지신산업,태양광 강아지 로봇,"태양광의 원리를 이해하고, 직접 전지판 실험 및 자동체 제작을 통해 친환경 에너지를 체험",사전모집,중학생 이상,50분,2025-11-29 ~ 2025-11-29,14:00 ~ 16:00,
에너지신산업,수소연료전지자동차,"수소연료전지의 원리를 이해하고, 친환경 자동차를 직접 만들어보는 체험형 교육 프로그램",사전모집,중학생 이상,40분,2025-11-27 ~ 2025-11-29,10:30 ~ 13:30,
에너지신산업,내 손안의 작은 발전기,친환경에너지를 이해하고 내손으로 만들어보는 발전기,사전모집,중학생 이상,40분,2025-11-26 ~ 2025-11-28,15:00 ~ 17:00,
인공지능,AICOSS 메타버스캠퍼스 체험,AICOSS 메타버스캠퍼스 체험,현장접수,중학생 이상,5분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
에너지신산업,업사이클링 카드지갑,친환경 소재로 만들어보는 나만의 카드지갑,사전모집,전국민대상,30분,2025-11-26 ~ 2025-11-28,14:00 ~ 14:30,
이차전지,[이차전지 컨소시엄] 교육 프로그램(다면형 실감콘텐츠 영상 체험 및 VR 영상 체험),"미래 에너지 중심, 이차전지를 '직접 보고, 느끼고, 체험하다!'",현장접수,제한없음,10~15분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
인공지능,AI를 활용한 명화속 몰입체험,AI를 활용한 명화속 몰입체험,현장접수,중학생 이상,5분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
에너지신산업,수소자동차 롱롱,수소자동차의 원리를 이해하고 직접 만들어보는 체험형 프로그램,사전모집,중학생 이상,40분,2025-11-26 ~ 2025-11-26,10:30 ~ 13:30,
인공지능,AI를 활용한 캐리커쳐 체험,AI를 활용한 캐리커쳐 체험,현장접수,중학생 이상,5분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
이차전지,보조배터리 제작 체험(보조배터리 만들어봤어? 안 만들어 봤으면 말을 하지마!),실제 제작 체험을 통해 배터리 제작 과정을 한눈에 알아볼 수 있습니다.,사전모집&현장접수,제한없음,30~60분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
빅데이터,Scent Memory,나의 취향을 입력하면 데이터가 향수 레시피를 추천해준다구?!,현장접수,초•중•고 학생 및 일반 관람객,5분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
차세대반도체,"어서와, 반도체 회로제작은 처음이지?",반도체 회로 기초부터 실물 제작까지!  차세대반도체 혁신융합대학과 함께 직접 게임기 반도체 회로를 만들어보자!,현장접수,초등학생 4학년 이상,30분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
빅데이터,기택이의 대모험,"오류 속에 숨은 진실, 기택이와 데이터 디버깅 체험",현장접수,초•중•고 학생 및 일반 관람객,5~10분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
바이오헬스,"피부 위의 예술, 인체 속의 과학",바디페인팅으로 경험하는 인체 예술과 아나토마지 테이블로 구현된 정밀 3D 인체 시각화,현장접수,초등학생 이상,15분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
바이오헬스,"생명의 코드, 우리 몸과 DNA","코끼리 치약부터 DNA 추출까지, 실험으로 배우는 유전자 과학",사전모집,초등학생 이상,60분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
바이오헬스,"이동의 경계를 넘어, 게임으로 확장된 세상",휠체어와 게임이 만드는 새로운 경험과 가능성,현장접수,초등학생 이상,약 4분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
바이오헬스,"기술로 되찾는 움직임, 로봇이 전하는 회복의 미래","로봇 재활기기(보행 보조 로봇, Botfit)를 착용·체험하며 보행 원리와 기술적 변화를 이해",현장접수,초등학생 이상,10분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
지능형로봇,일반인 로봇 교육프로그램5(휴머노이드 이론교육 및 미션수행),일반인 로봇 교육프로그램5(휴머노이드 이론교육 및 미션수행),사전모집,중학생 이상,90,2025-11-26 ~ 2025-11-29,15:00 ~ 16:30,
빅데이터,나는 누구일까?,"빅데이터가 랜덤키워드 5개를 줄게, 정답은 누가 맞출래?",현장접수,초•중•고 학생 및 일반 관람객,5~10분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
빅데이터,"나의 왕자님, 공주님을 찾아라!",이상형과 관련된 단어만 알려줘! 내가 이상형을 그려줄게!,현장접수,초•중•고 학생 및 일반 관람객,5~10분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
빅데이터,빅데이터 어워즈,빅데이터 컨소시엄 학생들이 만든 우수 성과를 공유,현장접수,초•중•고 학생 및 일반 관람객,5분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
빅데이터,0,0,현장접수,초•중•고 학생 및 일반 관람객,0,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
첨단소재나노융합,3D펜으로 만드는 첨단소재 창의공작소,"3D 펜으로 이름표 키링, 책갈피 등 간단한 물체를 직접 제작하며 기초 3D 메이킹을 익히는 초간단 체험 프로그램",현장접수,누구나,20분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
차세대디스플레이,T-OLED 액자,투명 OLED를 사용하여 원하는 이미지를 액자로 찰칵!,현장접수,누구나,5분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
차세대디스플레이,차세대디스플레이 공정 XR 체험,차세대디스플레이 FAB에서 실제 공정을 체험하는 프로그램,현장접수,누구나,10분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
차세대디스플레이,키네틱LED Interactive,실시간 동작 감지로 키네틱LED를 체험,현장접수,누구나,10분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
차세대디스플레이,DIY 문자 코딩으로 만드는 나만의 장난,"간단한 코딩과 조립으로 LED 장난감을 만들고, 완성품은 기념품으로 받아가세요!",현장접수,누구나,10분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
데이터보안활용융합,Drone Under Attack: 하늘 위의 드론 위협,하늘 위에서 벌어지는 사이버 위협의 실체를 직접 체험해보세요!,현장접수,COSS 참여자 전체(고등학생 이상),15,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
사물인터넷,"센서가 듣고, AI가 생각한다","센서가 내 목소리와 심장 소리를 읽고, AI가 판단하면 로봇이 곧바로 움직인다. 센서와 AI가 만드는 연결된 세상의 실험실.",현장접수,제한 없음,5분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
실감미디어,꿈의 학교 속으로! 메타버스 캠퍼스 & 콘텐츠 여행 (실감미디어 메타버스 플랫폼 투어),꿈의 학교 속으로! 메타버스 캠퍼스 & 콘텐츠 여행,현장접수,초등학생(고학년) 이상,10분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
사물인터넷,스마트양식 디지털 트윈 체험: 모바일 로봇과 수질센서를 활용한 자율 환경 관리,모바일 로봇과 수질센서를 활용한 자율 환경 관리 체험,현장접수,중학생 이상,"설명 시간 3분, 체험 시간 5분 내외",2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
실감미디어,디지털 숲 명상 오디세이,가상현실로 구현된 숲 숲속 기상 변화 등을 배경으로 시각과 청각을 활용해 정신과 신체의 이완을 돕는 명상 프로그램 체험,사전모집,초등학생(고학년) 이상,30분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
실감미디어,톡톡 튀는 콘텐츠! 실감 팡팡 체험존 (실감미디어 경진대회 우수작품 체험),실감미디어 학생들의 독창성 있는 우수 작품들을 직접 체험,현장접수,초등학생(고학년) 이상,10분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
실감미디어,진짜처럼 짜릿! 햅틱 손맛 체험존 (VR 기반의 햅틱 디바이스 체험),"햅틱 디바이스(슈트와 장갑)를 착용한 후 복싱, 롤러코스터 체험",현장접수,초등학생(고학년) 이상,10분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
그린바이오,Space Green 우주 농부 인증 미션을 위한 탑승을 시작합니다!,"애그테크(Ag-Tech)가 접목된 우주 수직농장부터 스마트 온실, 노지 수확까지 체험하고 우주 농부 인증을 받아보세요.",현장접수,초등학생 이상,25분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
차세대통신,인공위성 통신 체험관,인공위성 발사부터 통신까지! 위성 통신 체험하기!,사전모집&현장접수,초등학생 이상,10~15분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
항공드론,블록코딩을 활용한 드론제어,블록코딩을 활용한 드론 실습 및 체험교육,사전모집&현장접수,초등학생(고학년)이상,90분이내,2025-11-26 ~ 2025-11-29,10:00 ~ 17:30,
항공드론,UAM 조종 시뮬레이터 체험,UAM 조종법 교육 및 시뮬레이터 탑승 조종 체험,사전모집&현장접수,초등학생(고학년)이상,30분이내,2025-11-26 ~ 2025-11-29,10:00 ~ 17:30,
항공드론,드론 장애물 경주 체험,드론 볼을 수동으로 조종하여 다양한 미션을 수행하는 체험 프로그램,현장접수,초등학생(고학년)이상,20분,2025-11-28 ~ 2025-11-29,10:00 ~ 17:30,
사물인터넷,공감 조명: 오늘 너의 색은?,음성으로 기분을 말하면 전구 색상이 변하는 AI 체험,현장접수,제한없음,5분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
미래자동차,AWS DeepRacer 자율주행 체험,"미래자동차 자율주행 AI VS 인간, 운전 대결 승자는??!!",사전모집&현장접수,키 100cm 이상이면 누구나 가능~!,5분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:30,
첨단소재나노융합,손끝에서 펼쳐지는 스트레쳐블 첨단유연소재,"손끝으로 만지고 느끼는 스트레쳐블 첨단유연소재, 고분자 네트워크의 신비로운 변화를 직접 체험해보세요!",사전모집&현장접수,초등학생이상,약 60분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
데이터보안활용융합,"탈출하라, 사이버 보안 위기속 탈출기",주변에 주어진 단서를 조합하여 사이버 위기 속 위험을 탈출하는 방탈출 게임!,현장접수,COSS 참여자 전체(중학생 이상),30분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
지능형로봇,일반인 로봇 교육 프로그램 1(경주로봇 만들기),일반인 로봇 교육 프로그램 1(경주로봇 만들기),사전모집,초등학생 이상,60,2025-11-26 ~ 2025-11-29,11:00 ~ 12:00,
데이터보안활용융합,"스마트홈 캠 해킹, 누군가 지켜보고 있다.",스마트홈 해킹 시연을 통해 사생활 침해의 실체를 확인하세요,현장접수,COSS 참여자 전체(초등학생 이상),10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
데이터보안활용융합,해킹이 부른 의료 사고,"실제 의료기기 해킹 시연을 통해, 사이버 공격이 환자 생명에 미치는 치명적 위험을 직접 확인하세요!",현장접수,COSS 참여자 전체(중학생 이상),10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
데이터보안활용융합,우리의 친절한 로봇의 반란,"해커의 손에 넘어가 멈추고 조작되는 순간, 로봇 해킹의 실체를 직접 체험하세요!",현장접수,COSS 참여자 전체(중학생 이상),15,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
데이터보안활용융합,AI가 만든 가짜를 잡아라,"숨은 단서를 찾아, AI가 만든 가짜와 사람의 진짜를 구분하는 재미를 느껴부세요!",사전모집&현장접수,COSS 참여자 전체(초등학생 이상),10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
반도체소부장,반도체를 분해해보자,"반도체를 만드는 장비 내부를 보고, 뜯고, 조립해보는 VR 체험",사전모집&현장접수,누구나 참여 가능,15~30분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
에코업,방탈출 프로그램 '교수님의 수상한 과제',미래 혁신 인재 필수 코스!  '에코업 6대 과제' 속 환경 위기를 직접 해결하는 방탈출 프로그램,사전모집&현장접수,"초, 중, 고 누구나",20분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
에코업,LED로 그리는 탄소중립,탄소배출을 줄이는  나만의 LED 아크릴 조명을 만들어보자!,사전모집&현장접수,초등학생(고학년) 이상,20분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
에코업,우리집 알뜰에너지 연구소,우리집 전기 도둑을 검거해보자! 가전제품 대기전력 측정 프로그램,사전모집&현장접수,누구나 참여 가능,10,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
지능형로봇,AI 드로잉 로봇 및 오목 로봇 체험,AI 드로잉 로봇 및 오목 로봇 체험,현장접수,초등학생 이상,20분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
지능형로봇,ROBO SHOW(4족보행 로봇 및 테미 체험),ROBO SHOW(4족보행 로봇 및 테미 체험),현장접수,초등학생 이상,30분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
지능형로봇,일반인 로봇 교육 프로그램2(청소로봇 만들기),일반인 로봇 교육 프로그램 1(청소로봇 만들기),사전모집,초등학생 이상,60,2025-11-26 ~ 2025-11-29,12:00 ~ 13:00,
지능형로봇,일반인 교육 프로그램3(자이로 외발주행 로봇 만들기),일반인 교육 프로그램3(자이로 외발주행 로봇 만들기),사전모집,초등학생 이상,60분,2025-11-26 ~ 2025-11-29,13:00 ~ 14:00,
지능형로봇,일반인 로봇 교육 프로그램4(유선 스파이더로봇 만들기),일반인 로봇 교육 프로그램4(유선 스파이더로봇 만들기),사전모집,초등학생 이상,60,2025-11-26 ~ 2025-11-29,14:00 ~ 15:00,
첨단소재나노융합,﻿첨단소재워터랩:모링가의 비밀,﻿모링가 씨앗의 수질정화 실습을 통해 친환경 첨단소재의 개념을 체험,사전모집,﻿초등학생(고학년)이상,40,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
